Customer Name,Region,Product Category,Sales
Aaron Davies Bruce,West,Furniture,2305.95
Aaron Davies Bruce,West,Office Supplies,83.82
Aaron Day,South,Office Supplies,710.16
Aaron Day,South,Technology,1122.85
Aaron Dillon,Central,Furniture,78.62
Aaron Dillon,Central,Office Supplies,179.66
Aaron Fuller Davidson,East,Furniture,207.55
Aaron Riggs,West,Furniture,3112.13
Aaron Riggs,West,Office Supplies,127.86
Aaron Riggs,West,Technology,520.18
Aaron Shaffer,West,Office Supplies,964.3
Adam Barton,Central,Furniture,893.41
Adam Barton,Central,Office Supplies,631.63
Adam Barton,Central,Technology,1069.92
Adam G Sawyer,Central,Furniture,26.68
Adam G Sawyer,Central,Office Supplies,292.18
Adam G Sawyer,Central,Technology,2778.01
Adam McKinney,East,Office Supplies,38.15
Adam Saunders Gray,West,Furniture,2710.3
Adam Saunders Gray,West,Office Supplies,256.72
Adam Saunders Gray,West,Technology,233.98
Alan Atkins,South,Office Supplies,37.87
Alan Briggs,East,Office Supplies,360.12
Alan Chase,Central,Furniture,323.85
Alan Griffith,Central,Office Supplies,505.88
Albert Frost,Central,Furniture,342.62
Albert Frost,Central,Office Supplies,8705.1
Albert Frost,Central,Technology,739.9
Albert Maxwell,East,Furniture,396.19
Albert Tyson,South,Office Supplies,4161.16
Albert Tyson,South,Technology,1300.54
Alex Barry,Central,Office Supplies,12.59
Alex Harding,West,Furniture,1348.73
Alex Harding,West,Technology,17415.57
Alex Harrell,Central,Office Supplies,267.89
Alex Nicholson,West,Office Supplies,191.68
Alex Nicholson,West,Technology,471.3
Alex Tate,East,Office Supplies,5155.36
Alex Watkins,East,Furniture,863.58
Alex Watkins,East,Office Supplies,19.12
Alexander Baker,East,Office Supplies,1373.59
Alexander Hendricks,East,Office Supplies,329.95
Alexander Joyner,Central,Technology,164.11
Alexander O'Brien,Central,Office Supplies,9279.59
Alexander O'Brien,Central,Technology,7697.91
Alexandra Duke,East,Furniture,2151.35
Alexandra Duke,East,Technology,1850.72
Alexandra Frazier,East,Office Supplies,29.1
Alexandra Fuller,West,Furniture,291.56
Alexandra Fuller,West,Technology,458.01
Alexandra Kumar,East,Technology,5308.57
Alexandra Lambert,East,Technology,3622.93
Alexandra Pollard,East,Office Supplies,49.24
Alexandra Wise,Central,Furniture,1170.26
Alexandra Wise,Central,Office Supplies,150.9
Alexandra Wise,Central,Technology,1170.19
Alfred Barber,Central,Furniture,9538.42
Alfred Barber,Central,Office Supplies,268.76
Alfred Barber,Central,Technology,10265.2
Alfred Barr,East,Technology,133.32
Alfred Burton,South,Furniture,117.22
Alfred Burton,South,Office Supplies,181.31
Alfred Burton,South,Technology,4316.33
Alfred F Dixon,Central,Furniture,143.76
Alfred F Dixon,Central,Office Supplies,47.34
Alfred Harmon,East,Office Supplies,10.72
Alfred Moran,Central,Office Supplies,62.94
Alfred Moran,Central,Technology,1135.42
Alfred Singh,South,Furniture,7803.1
Alfred Singh,South,Office Supplies,5662.01
Alfred Singh,South,Technology,11892.43
Alice Berger McIntyre,East,Technology,952.26
Alice Brady,Central,Furniture,181.11
Alice Brady,Central,Technology,3355.66
Alice Capps,West,Office Supplies,99.56
Alice Coley,Central,Office Supplies,414.49
Alice Marks,East,Office Supplies,831.22
Alice Pittman,East,Office Supplies,156.24
Alicia Curtis,West,Furniture,1070.14
Alicia Curtis,West,Office Supplies,712.94
Alicia Curtis,West,Technology,3609.46
Alicia Maynard,South,Furniture,10.31
Alicia Maynard,South,Office Supplies,935.77
Alicia Wood Shah,West,Furniture,2333.53
Alicia Wood Shah,West,Office Supplies,5.24
Alicia Wood Shah,West,Technology,1277.49
Alison Jacobson,Central,Office Supplies,109.06
Alison Jacobson,Central,Technology,797.62
Alison Jones,South,Furniture,185.52
Alison Jones,South,Office Supplies,13.42
Alison Jones,South,Technology,3294.56
Alison Peters Wooten,East,Furniture,1494.63
Alison Peters Wooten,East,Office Supplies,152.54
Alison Sharp,East,Office Supplies,2353.55
Alison Starr,South,Furniture,146.86
Alison Starr,South,Office Supplies,286
Alison Starr,South,Technology,34.47
Alison Stewart,Central,Office Supplies,1117.02
Alison Stewart,Central,Technology,483.75
Allan Dickinson,South,Furniture,43.2
Allan Dickinson,South,Office Supplies,413.99
Allan Green,Central,Furniture,895.53
Allan Green,Central,Office Supplies,712.92
Allan Green,Central,Technology,215.42
Allan Shields,South,Furniture,240.63
Allan Shields,South,Office Supplies,668.36
Allan Shields,South,Technology,75.09
Allen Garrett,West,Office Supplies,63.89
Allen Nash,South,Furniture,830.1
Allen Nash,South,Office Supplies,1238.78
Allen Nash,South,Technology,413.09
Allison Cooke,West,Furniture,727.19
Allison Gunter,East,Furniture,1754.94
Allison Kirby,Central,Furniture,4397.73
Allison Kirby,Central,Office Supplies,7608.35
Allison Kirby,Central,Technology,19567.99
Allison Peacock,East,Furniture,200.57
Allison Peacock,East,Office Supplies,200.01
Alvin B Winstead,Central,Furniture,2254.48
Alvin B Winstead,Central,Office Supplies,343.66
Alvin Frost,East,Office Supplies,80.62
Alvin Hoover,East,Furniture,438.33
Alvin Hoover,East,Office Supplies,315.93
Alvin Mullins,West,Office Supplies,56.4
Amanda Conner,Central,Office Supplies,2701.48
Amanda Gould,East,Technology,394.1
Amanda Hardy Singleton,East,Office Supplies,120.07
Amanda Helms,Central,Furniture,105.05
Amanda Helms,Central,Office Supplies,349.34
Amanda Huang,Central,Office Supplies,73.33
Amanda Kay,West,Furniture,277.9
Amanda Kay,West,Office Supplies,2097.06
Amanda Kay,West,Technology,53418.44
Amanda Shore,West,Furniture,1287.55
Amanda Wright,Central,Office Supplies,2272.66
Amanda Wright,Central,Technology,634.9
Amy Boyd,South,Office Supplies,78.85
Amy Boyd,South,Technology,561.51
Amy Ellis Holder,West,Furniture,2809.87
Amy Ellis Holder,West,Office Supplies,79.93
Amy Ellis Holder,West,Technology,2560.45
Amy Hale,East,Office Supplies,23.08
Amy Hall,East,Office Supplies,33.17
Amy Hall,East,Technology,925.98
Amy Hamrick Melvin,East,Office Supplies,6657.7
Amy Hamrick Melvin,East,Technology,367
Amy Jiang,Central,Office Supplies,9.34
Amy Shea,Central,Office Supplies,3045.09
Amy Shea,Central,Technology,449.71
Amy Thomson,East,Office Supplies,291.82
Amy York,West,Office Supplies,19.13
Amy York,West,Technology,981.85
Andrea Barr,South,Office Supplies,48.02
Andrea Oakley,Central,Office Supplies,139.59
Andrea Oakley,Central,Technology,53.55
Andrea Shaw,Central,Office Supplies,26141.56
Andrea Shaw,Central,Technology,143.12
Andrew Beard,East,Furniture,918.05
Andrew Beard,East,Office Supplies,161.3
Andrew Connor,South,Office Supplies,2976.91
Andrew Connor,South,Technology,2553.25
Andrew Gonzalez,South,Furniture,9482.4
Andrew Gonzalez,South,Office Supplies,18668.77
Andrew Gonzalez,South,Technology,5757.01
Andrew Levin,East,Office Supplies,10.48
Andrew Levine,East,Furniture,3568.06
Andrew Levine,East,Office Supplies,26253.22
Andrew Levine,East,Technology,13934.91
Andrew Pearce,Central,Furniture,251.06
Andrew Pearce,Central,Office Supplies,24.33
Andrew Todd,West,Office Supplies,73.41
Andrew Todd,West,Technology,1588.3
Andrew Warren,West,Office Supplies,200.64
Angela Alston,West,Office Supplies,176.86
Angela Alston,West,Technology,1792.62
Angela Bernstein,West,Furniture,487.27
Angela Bernstein,West,Office Supplies,151.22
Angela Howe,Central,Office Supplies,589.98
Angela Howe,Central,Technology,983.65
Angela Larson,East,Furniture,856.93
Angela Larson,East,Office Supplies,493.96
Angela Larson,East,Technology,917.5
Angela Rose,South,Furniture,94.47
